
====================
Pre-Training: Constraint-Structured Initialization (Sample-Based)
====================
  GV (Φ) pre-training ENABLED (using provided GV_net)
  File "/Users/sebastianescobar/Desktop/Neural_Certificate/examples/synthesis/xv15aircraft_syn/main.py", line 1695, in train_network_bounds
    # Recompute bounds after optimizer step for verification
    ^^^^^^^^^^^^^^^^^^^^^
  File "/Users/sebastianescobar/Desktop/Neural_Certificate/venv/lib/python3.11/site-packages/torch/_tensor.py", line 525, in backward
    torch.autograd.backward(
  File "/Users/sebastianescobar/Desktop/Neural_Certificate/venv/lib/python3.11/site-packages/torch/autograd/__init__.py", line 267, in backward
    _engine_run_backward(
  File "/Users/sebastianescobar/Desktop/Neural_Certificate/venv/lib/python3.11/site-packages/torch/autograd/graph.py", line 744, in _engine_run_backward
    return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
KeyboardInterrupt
